Date,Open,High,Low,Close,Volume,Spread,RealVolume,Bid,Ask
2025.04.24 14:00,127158.4800,127951.9800,126326.1700,126553.8900,14389,0.1022,0,130257.4500,130267.6700
2025.04.24 18:00,126549.9200,126928.0500,125971.2900,126064.1400,14389,0.1022,0,130257.4500,130267.6700
2025.04.24 22:00,126065.0000,126265.4600,125375.1700,125467.7900,14396,0.1022,0,130257.4500,130267.6700
2025.04.25 02:00,125467.4700,125822.1200,124815.7800,124941.1800,14389,0.1022,0,130257.4500,130267.6700
2025.04.25 06:00,124944.7500,125249.9800,124030.4300,124390.7900,14390,0.1022,0,130257.4500,130267.6700
2025.04.25 10:00,124393.4700,124606.7900,123485.1600,123485.1600,14382,0.1022,0,130257.4500,130267.6700
2025.04.25 14:00,123483.6500,123879.0900,122321.9200,122342.2100,14390,0.1022,0,130257.4500,130267.6700
2025.04.25 18:00,122343.1800,122388.0800,121397.3700,122250.2100,14389,0.1022,0,130257.4500,130267.6700
2025.04.25 22:00,122247.6300,122529.8900,121898.7700,122116.3000,14383,0.1022,0,130257.4500,130267.6700
2025.04.26 02:00,122119.9100,122978.3800,121197.9000,122953.5700,14392,0.1022,0,130257.4500,130267.6700
2025.04.26 06:00,122954.6100,123327.2200,121879.9100,122150.7100,14395,0.1022,0,130257.4500,130267.6700
2025.04.26 10:00,122145.5500,122700.2100,121761.8200,122625.8700,14393,0.1022,0,130257.4500,130267.6700
2025.04.26 14:00,122618.8800,123564.3900,122325.8000,123547.0700,14392,0.1022,0,130257.4500,130267.6700
2025.04.26 18:00,123555.5800,123675.4200,122656.2500,123042.7300,14390,0.1022,0,130257.4500,130267.6700
2025.04.26 22:00,123045.8700,125102.7000,123026.6500,124598.2800,14393,0.1022,0,130257.4500,130267.6700
2025.04.27 02:00,124602.2100,125795.1800,124276.6100,125288.6000,14391,0.1022,0,130257.4500,130267.6700
2025.04.27 06:00,125285.9000,125728.3600,123897.9500,124945.6100,14391,0.1022,0,130257.4500,130267.6700
2025.04.27 10:00,124936.4800,125087.2400,123254.6600,124554.7600,14388,0.1022,0,130257.4500,130267.6700
2025.04.27 14:00,124547.3300,125637.1300,124379.3200,125571.7700,14392,0.1022,0,130257.4500,130267.6700
2025.04.27 18:00,125569.4500,125627.3600,124256.8300,124821.8500,14391,0.1022,0,130257.4500,130267.6700
2025.04.27 22:00,124826.3700,126297.3500,124528.7400,126291.1000,14391,0.1022,0,130257.4500,130267.6700
2025.04.28 02:00,126288.6000,126686.5500,125609.6700,125664.8300,14389,0.1022,0,130257.4500,130267.6700
2025.04.28 06:00,125664.4000,126197.6800,125070.9000,126160.3500,14390,0.1022,0,130257.4500,130267.6700
2025.04.28 10:00,126166.9700,126234.4100,125140.1000,125908.0500,14394,0.1022,0,130257.4500,130267.6700
2025.04.28 14:00,125915.2100,126762.5900,125707.5100,126250.3300,14387,0.1022,0,130257.4500,130267.6700
2025.04.28 18:00,126249.4100,126271.3700,125269.8900,125660.5700,14390,0.1022,0,130257.4500,130267.6700
2025.04.28 22:00,125667.1600,126103.5200,125153.0800,125339.6300,14393,0.1022,0,130257.4500,130267.6700
2025.04.29 02:00,125352.1300,126477.7100,125155.1000,126288.6200,14388,0.1022,0,130257.4500,130267.6700
2025.04.29 06:00,126292.1500,126327.2900,124752.1100,124789.6200,14388,0.1022,0,130257.4500,130267.6700
2025.04.29 10:00,124787.0000,125586.9700,124571.8600,125450.0700,14392,0.1022,0,130257.4500,130267.6700
2025.04.29 14:00,125455.7400,126571.3100,125413.9100,125779.8800,14394,0.1022,0,130257.4500,130267.6700
2025.04.29 18:00,125775.1900,126297.1800,125233.1000,125708.8300,14392,0.1022,0,130257.4500,130267.6700
2025.04.29 22:00,125705.7300,125843.4200,124558.0900,124698.7600,14394,0.1022,0,130257.4500,130267.6700
2025.04.30 02:00,124698.2800,125107.9100,123556.3000,123650.0600,14392,0.1022,0,130257.4500,130267.6700
2025.04.30 06:00,123655.3300,126131.9600,123637.0100,125688.5400,14385,0.1022,0,130257.4500,130267.6700
2025.04.30 10:00,125699.9000,127040.0700,125616.3000,126885.3000,14392,0.1022,0,130257.4500,130267.6700
2025.04.30 14:00,126884.1800,127065.2500,124451.3200,124778.7400,14382,0.1022,0,130257.4500,130267.6700
2025.04.30 18:00,124772.9500,125228.8600,124419.5500,124593.6600,14391,0.1022,0,130257.4500,130267.6700
2025.04.30 22:00,124586.5500,125924.9100,124353.2900,125874.7300,14389,0.1022,0,130257.4500,130267.6700
2025.05.01 02:00,125865.5800,125899.4800,125101.3700,125533.6100,14395,0.1022,0,130257.4500,130267.6700
2025.05.01 06:00,125526.7300,125690.9000,125046.3600,125359.2300,14391,0.1022,0,130257.4500,130267.6700
2025.05.01 10:00,125355.7700,125526.1700,124002.0600,124038.5600,14384,0.1022,0,130257.4500,130267.6700
2025.05.01 14:00,124039.2700,124997.8000,124024.2000,124831.6400,14391,0.1022,0,130257.4500,130267.6700
2025.05.01 18:00,124837.1200,125837.1200,124398.9400,125768.4300,14389,0.1022,0,130257.4500,130267.6700
2025.05.01 22:00,125760.3500,127010.2400,125525.1100,126916.7000,14396,0.1022,0,130257.4500,130267.6700
2025.05.02 02:00,126910.5800,127719.7200,126412.2300,127563.7900,14389,0.1022,0,130257.4500,130267.6700
2025.05.02 06:00,127556.3500,128164.1000,127177.7800,127941.8800,14388,0.1022,0,130257.4500,130267.6700
2025.05.02 10:00,127933.9000,128725.6800,127344.7400,127969.7600,14390,0.1022,0,130257.4500,130267.6700
2025.05.02 14:00,127956.2400,128230.7500,127219.8900,127426.2700,14386,0.1022,0,130257.4500,130267.6700
2025.05.02 18:00,127431.3400,127773.6300,126800.6400,127610.2000,14392,0.1022,0,130257.4500,130267.6700
2025.05.02 22:00,127606.1000,129325.5200,127529.4500,128434.0200,14388,0.1022,0,130257.4500,130267.6700
2025.05.03 02:00,128427.6900,128634.3500,126572.5600,126574.6300,14390,0.1022,0,130257.4500,130267.6700
2025.05.03 06:00,126577.4800,127954.0600,126507.3800,127775.1300,14391,0.1022,0,130257.4500,130267.6700
2025.05.03 10:00,127783.9000,128756.6200,127046.3200,128683.1600,14387,0.1022,0,130257.4500,130267.6700
2025.05.03 14:00,128681.4900,129398.2700,127683.1800,129256.1900,14391,0.1022,0,130257.4500,130267.6700
2025.05.03 18:00,129260.1200,129766.8900,127907.5000,128900.3300,14390,0.1022,0,130257.4500,130267.6700
2025.05.03 22:00,128904.5600,129544.5800,128289.2500,128941.6500,14389,0.1022,0,130257.4500,130267.6700
2025.05.04 02:00,128941.1900,130015.4000,128882.0100,129927.1200,14391,0.1022,0,130257.4500,130267.6700
2025.05.04 06:00,129928.4200,130575.2100,129581.2600,129890.2900,14392,0.1022,0,130257.4500,130267.6700
2025.05.04 10:00,129890.2700,130445.3600,129510.4300,130258.7200,12493,0.1022,0,130257.4500,130267.6700
